datetime,T_mu
2019-02-16,36.2
2019-02-17,33.3
2019-02-18,36.5
2019-02-19,36.8
2019-02-20,37.8
2019-02-21,38.3
2019-02-22,39.2
2019-02-23,39.2
2019-02-24,39.2
2019-02-25,38.2
2019-02-26,37.2
2019-02-27,37.3
2019-02-28,37.8
2019-03-01,38.3
2019-03-02,38.5
2019-03-03,38.3
2019-03-04,38.3
2019-03-05,38.3
2019-03-06,39.2
2019-03-07,39.2
2019-03-08,39.2
2019-03-09,38.5
2019-03-10,39.2
2019-03-11,39.7
2019-03-12,39.8
2019-03-13,39.5
2019-03-14,39.2
2019-03-15,39.3
2019-03-16,36.3
2019-03-17,39.2
2019-03-18,38.3
2019-03-19,38.7
2019-03-20,39.2
2019-03-21,39.8
2019-03-22,40
2019-03-23,40
2019-03-24,38.3
2019-03-25,35.5
2019-03-26,38
2019-03-27,37.7
2019-03-28,38.3
2019-03-29,38.8
2019-03-30,39.3
2019-03-31,38.3
2019-04-01,37.8
2019-04-02,38
2019-04-03,37
2019-04-04,38.3
2019-04-05,38.5
2019-04-06,38.2
2019-04-07,36.8
2019-04-08,39.8
2019-04-09,39.8
2019-04-10,39.5
2019-04-11,40
2019-04-12,40
2019-04-13,39.8
2019-04-14,39
2019-04-15,39.3
2019-04-16,39.5
2019-04-17,40
2019-04-18,39.3
2019-04-19,40
2019-04-20,40
2019-04-21,40
2019-04-22,37.3
2019-04-23,38.2
2019-04-24,40
2019-04-25,38.8
2019-04-26,37.7
2019-04-27,38
2019-04-28,39.5
2019-04-29,39.5
2019-04-30,39.3
2019-05-01,40
2019-05-02,40
2019-05-03,39.5
2019-05-04,37.3
2019-05-05,39.5
2019-05-06,39.5
2019-05-07,39.3
2019-05-08,37.5
2019-05-09,35.8
2019-05-10,37.3
2019-05-11,39.2
2019-05-12,36.3
2019-05-13,35.2
2019-05-14,33.8
2019-05-15,35.8
2019-05-16,36.2
2019-05-17,39.2
2019-05-18,39.5
2019-05-19,40
2019-05-20,39.3
2019-05-21,37.8
2019-05-22,35.7
2019-05-23,35
2019-05-24,36
2019-05-26,37.3
2019-05-27,36.8
2019-05-28,35.5
2019-05-29,35.3
2019-05-30,33.8
2019-05-31,35.3
2019-06-01,36.3
2019-06-02,37
2019-06-03,37.3
2019-06-04,37.8
2019-06-05,35.5
2019-06-06,36.3
2019-06-07,35
2019-06-08,36.7
2019-06-09,35.7
2019-06-10,35.7
2019-06-18,34
2019-06-19,35.8
2019-06-20,38
2019-06-21,39.2
2019-06-22,39.8
2019-06-23,38
2019-06-24,34.5
2019-06-25,36.2
2019-06-26,36.7
2019-06-27,34.2
2019-06-28,33.8
2019-06-29,34
2019-06-30,33
2019-07-01,34.3
2019-07-02,32.3
2019-07-03,27.5
2019-07-04,32
2019-07-05,32.3
2019-07-06,34.7
2019-07-07,34.8
2019-07-08,35.5
2019-07-09,35.8
2019-07-10,35.2
2019-07-11,37.5
2019-07-12,38.2
2019-07-13,37.5
2019-07-14,35.5
2019-07-15,35.8
2019-07-16,38
2019-07-17,37.7
2019-07-18,37.7
2019-07-19,38.3
2019-07-20,37.7
2019-07-21,36
2019-07-22,36.3
2019-07-23,35.3
2019-07-24,32.8
2019-07-25,32.2
2019-07-26,33.2
2019-07-27,34.3
2019-07-28,37.3
2019-07-29,35.3
2019-07-30,35.8
2019-07-31,34.3
2019-08-01,30.3
2019-08-02,33.7
2019-08-03,33
2019-08-04,31.2
2019-08-05,31.7
2019-08-06,33
2019-08-07,32.7
2019-08-08,33.8
2019-08-09,31.5
